"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"719436","Nicolas","Meizonnet","Occitanie","Gard","2","Ingénieur en informatique","Non inscrit","NI"
"840781","Romain","Tonussi","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","8","(45) - Profession intermédiaire administrative de la fonction publique","Non inscrit","NI"
"795616","Carlos Martens","Bilongo","Ile-de-France","Val-d'Oise","8","Professeur, profession scientifique","Non inscrit","NI"
"643157","Philippe","Naillet","Réunion","Réunion","1","Inspecteur assurance-vie","Non inscrit","NI"
"717379","Sylvain","Maillard","Ile-de-France","Paris","1","Industriel-Chef d'entreprise","Non inscrit","NI"
"719388","Annaïg","Le Meur","Bretagne","Finistère","1","Autre profession libérale","Non inscrit","NI"
"841539","Julien","Gokel","Hauts-de-France","Nord","13","(45) - Profession intermédiaire administrative de la fonction publique","Non inscrit","NI"
"722374","Cyrille","Isaac-Sibille","Auvergne-Rhône-Alpes","Rhône","12","Médecin","Non inscrit","NI"
"795010","Marie-Charlotte","Garin","Auvergne-Rhône-Alpes","Rhône","3","Collaboratrice politique en collectivité locale","Non inscrit","NI"
"841693","Jean","Laussucq","Ile-de-France","Paris","2","(33) - Cadre de la fonction publique","Non inscrit","NI"
"840889","Matthieu","Bloch","Bourgogne-Franche-Comté","Doubs","3","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
